Student ID,Question ID,Correct,Difficulty,Discrimination,Guessing Probability,Concept
0,40,0,2.5,2.5,0.25,Linked List
0,80,0,2.5,2.5,0.25,Stack
0,249,0,0.5,0.5,0.27,Graph
0,42,0,1.5,1.5,0.25,Linked List
0,102,1,0.5,0.5,0.25,Queue
0,242,0,0.5,0.5,0.27,Graph
0,232,1,0.5,0.5,0.27,Graph
0,196,0,2.5,2.5,0.2,Tree
0,102,0,0.5,0.5,0.25,Queue
0,185,0,2.5,2.5,0.25,Tree
0,151,1,1.5,1.5,0.25,Tree
0,29,0,1.5,2.5,0.25,Linked List
0,68,0,1.5,1.5,0.25,Linked List
0,213,0,1.5,1.5,0.25,Tree
0,238,1,0.5,0.5,0.27,Graph
0,47,0,1.5,1.5,0.25,Linked List
0,166,1,2.5,2.5,0.25,Tree
0,247,1,1.5,1.5,0.25,Graph
0,90,1,0.5,0.5,0.25,Stack
0,280,1,1.5,1.5,0.25,Graph
0,120,0,2.5,2.5,0.25,Queue
0,295,1,0.5,0.5,0.27,Graph
0,37,0,0.5,0.5,0.25,Linked List
0,249,1,0.5,0.5,0.27,Graph
0,98,1,1.5,1.5,0.25,Stack
0,22,0,0.5,1.5,0.25,Linked List
0,136,0,0.5,0.5,0.25,Tree
0,193,0,1.5,2.5,0.25,Tree
0,28,1,1.5,1.5,0.25,Linked List
0,276,0,0.5,0.5,0.27,Graph
1,121,1,1.5,2.5,0.25,Queue
1,196,1,2.5,2.5,0.2,Tree
1,250,1,2.5,2.5,0.2,Graph
1,27,0,2.5,2.5,0.25,Linked List
1,4,0,1.5,2.5,0.25,Array
1,212,0,1.5,1.5,0.25,Tree
1,152,0,2.5,2.5,0.25,Tree
1,77,0,1.5,1.5,0.25,Stack
1,229,1,0.5,0.5,0.27,Graph
1,87,0,1.5,2.5,0.25,Stack
1,102,0,0.5,0.5,0.25,Queue
1,39,1,2.5,2.5,0.25,Linked List
1,136,1,0.5,0.5,0.25,Tree
1,52,0,2.5,2.5,0.25,Linked List
1,131,0,0.5,0.5,0.25,Tree
1,106,0,2.5,2.5,0.25,Queue
1,273,1,1.5,1.5,0.25,Graph
1,36,0,2.5,2.5,0.25,Linked List
1,74,0,2.5,2.5,0.25,Stack
1,121,0,1.5,2.5,0.25,Queue
1,263,0,1.5,1.5,0.25,Graph
1,211,0,1.5,1.5,0.25,Tree
1,149,0,2.5,2.5,0.25,Tree
1,205,1,1.5,1.5,0.25,Tree
1,107,1,2.5,2.5,0.25,Queue
1,32,1,2.5,2.5,0.25,Linked List
1,82,0,2.5,2.5,0.25,Stack
1,65,0,0.5,0.5,0.25,Linked List
1,100,0,1.5,2.5,0.25,Queue
1,277,0,1.5,1.5,0.25,Graph
2,55,0,2.5,2.5,0.25,Linked List
2,14,1,1.5,1.5,0.25,Array
2,15,0,1.5,1.5,0.25,Array
2,287,1,1.5,1.5,0.25,Graph
2,73,0,2.5,2.5,0.25,Stack
2,76,0,2.5,2.5,0.25,Stack
2,256,0,0.5,0.5,0.27,Graph
2,45,1,0.5,0.5,0.25,Linked List
2,172,1,1.5,1.5,0.25,Tree
2,71,1,0.5,0.5,0.25,Stack
2,11,0,0.5,0.5,0.25,Array
2,199,1,1.5,1.5,0.25,Tree
2,54,0,2.5,2.5,0.25,Linked List
2,103,1,1.5,2.5,0.25,Queue
2,125,0,1.5,1.5,0.25,Queue
2,297,0,1.5,1.5,0.25,Graph
2,12,0,1.5,1.5,0.25,Array
2,26,0,2.5,2.5,0.25,Linked List
2,104,0,1.5,1.5,0.25,Queue
2,107,0,2.5,2.5,0.25,Queue
2,144,1,0.5,0.5,0.25,Tree
2,133,1,1.5,2.5,0.25,Tree
2,271,0,1.5,1.5,0.25,Graph
2,221,0,1.5,1.5,0.25,Tree
2,263,1,1.5,1.5,0.25,Graph
2,295,0,0.5,0.5,0.27,Graph
2,275,0,2.5,2.5,0.2,Graph
2,16,1,0.5,0.5,0.25,Array
2,266,0,2.5,2.5,0.2,Graph
2,179,1,2.5,2.5,0.25,Tree
3,179,0,2.5,2.5,0.25,Tree
3,234,0,0.5,0.5,0.27,Graph
3,270,1,1.5,1.5,0.25,Graph
3,97,1,2.5,2.5,0.25,Stack
3,49,1,0.5,0.5,0.25,Linked List
3,211,0,1.5,1.5,0.25,Tree
3,97,1,2.5,2.5,0.25,Stack
3,17,1,1.5,2.5,0.25,Array
3,188,0,1.5,2.5,0.25,Tree
3,236,1,0.5,0.5,0.27,Graph
3,72,1,1.5,2.5,0.25,Stack
3,46,0,2.5,2.5,0.25,Linked List
3,155,0,2.5,2.5,0.25,Tree
3,289,1,0.5,0.5,0.27,Graph
3,205,1,1.5,1.5,0.25,Tree
3,295,1,0.5,0.5,0.27,Graph
3,192,0,1.5,2.5,0.25,Tree
3,107,0,2.5,2.5,0.25,Queue
3,239,1,1.5,1.5,0.25,Graph
3,282,1,0.5,0.5,0.27,Graph
3,211,0,1.5,1.5,0.25,Tree
3,48,0,0.5,0.5,0.25,Linked List
3,204,1,1.5,1.5,0.25,Tree
3,11,1,0.5,0.5,0.25,Array
3,207,1,1.5,1.5,0.25,Tree
3,114,0,2.5,2.5,0.25,Queue
3,114,1,2.5,2.5,0.25,Queue
3,137,1,0.5,0.5,0.25,Tree
3,42,0,1.5,1.5,0.25,Linked List
3,157,0,2.5,2.5,0.25,Tree
4,10,1,1.5,1.5,0.25,Array
4,256,1,0.5,0.5,0.27,Graph
4,240,0,0.5,0.5,0.27,Graph
4,34,1,1.5,1.5,0.25,Linked List
4,213,1,1.5,1.5,0.25,Tree
4,210,1,1.5,1.5,0.25,Tree
4,199,0,1.5,1.5,0.25,Tree
4,72,1,1.5,2.5,0.25,Stack
4,140,0,2.5,2.5,0.25,Tree
4,189,0,2.5,2.5,0.2,Tree
4,55,0,2.5,2.5,0.25,Linked List
4,122,0,1.5,1.5,0.25,Queue
4,237,0,0.5,0.5,0.27,Graph
4,193,0,1.5,2.5,0.25,Tree
4,183,0,1.5,2.5,0.25,Tree
4,295,0,0.5,0.5,0.27,Graph
4,136,1,0.5,0.5,0.25,Tree
4,207,0,1.5,1.5,0.25,Tree
4,295,1,0.5,0.5,0.27,Graph
4,64,0,1.5,2.5,0.25,Linked List
4,223,0,2.5,2.5,0.2,Tree
4,163,0,0.5,0.5,0.25,Tree
4,193,0,1.5,2.5,0.25,Tree
4,81,1,0.5,0.5,0.25,Stack
4,16,1,0.5,0.5,0.25,Array
4,294,1,0.5,0.5,0.27,Graph
4,119,0,1.5,1.5,0.25,Queue
4,276,0,0.5,0.5,0.27,Graph
4,177,0,2.5,2.5,0.25,Tree
4,190,0,1.5,1.5,0.25,Tree
5,83,1,2.5,2.5,0.25,Stack
5,147,0,2.5,2.5,0.25,Tree
5,261,1,1.5,1.5,0.25,Graph
5,296,1,0.5,0.5,0.27,Graph
5,134,0,1.5,2.5,0.25,Tree
5,251,0,0.5,0.5,0.27,Graph
5,91,0,2.5,2.5,0.25,Stack
5,179,0,2.5,2.5,0.25,Tree
5,241,1,1.5,1.5,0.25,Graph
5,163,1,0.5,0.5,0.25,Tree
5,68,0,1.5,1.5,0.25,Linked List
5,28,1,1.5,1.5,0.25,Linked List
5,38,0,1.5,1.5,0.25,Linked List
5,77,1,1.5,1.5,0.25,Stack
5,148,1,2.5,2.5,0.25,Tree
5,167,1,2.5,2.5,0.25,Tree
5,113,0,2.5,2.5,0.25,Queue
5,223,0,2.5,2.5,0.2,Tree
5,85,1,0.5,0.5,0.25,Stack
5,121,0,1.5,2.5,0.25,Queue
5,155,0,2.5,2.5,0.25,Tree
